City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Bubaque,GW,78.04,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
315,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
317,Mananara,MG,75.56,light rain,-16.1667,49.7667,Chez Roger
324,Majene,ID,76.86,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
328,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
329,Pandan,PH,78.85,broken clouds,14.0453,124.1694,Bonifacio Lodge
331,Manggar,ID,77.09,overcast clouds,-2.8833,108.2667,Guest Hotel
336,Acajutla,SV,89.8,few clouds,13.5928,-89.8275,Laureles
343,Ewa Beach,US,81.01,few clouds,21.3156,-158.0072,Uncle Junior Robert
349,Hambantota,LK,75.45,overcast clouds,6.1241,81.1185,Bungalow 63
350,Cibinong,ID,78.13,overcast clouds,-6.4817,106.8542,Cirimekar Residence
353,Coihaique,CL,76.95,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
355,Manokwari,ID,81.23,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
367,The Valley,AI,77.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
370,Padang,ID,76.42,overcast clouds,-0.9492,100.3543,Mercure Padang
372,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
386,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
388,San Policarpo,PH,79.83,overcast clouds,12.1791,125.5072,Agapita M. Nicart
390,Limon,CR,76.71,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
394,Malabor,PH,79.95,overcast clouds,11.2729,122.0466,Kasa Raya Inn
399,Pacific Grove,US,85.57,clear sky,36.6177,-121.9166,Lovers Point Inn
406,Karratha,AU,89.26,broken clouds,-20.7377,116.8463,ibis Styles Karratha
408,Makakilo City,US,79.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
409,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
414,Benguela,AO,75.52,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
423,Labuhan,ID,75.52,moderate rain,-6.8844,112.2051,DoubleFAG
428,Salinopolis,BR,77.09,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
436,La Romana,DO,79.16,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
437,Blackwater,AU,81.84,clear sky,-23.5833,148.8833,Blackwater Motor Inn
444,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
445,Kudahuvadhoo,MV,80.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
448,Viedma,AR,78.87,clear sky,-40.8135,-62.9967,Hotel Cristal
450,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
454,Pacifica,US,81.68,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
457,Kattivakkam,IN,79.07,clear sky,13.2167,80.3167,Euronova Freezer
461,Kavieng,PG,81.99,moderate rain,-2.5744,150.7967,Nusa Island Retreat
462,Maragogi,BR,80.58,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
474,Namatanai,PG,83.77,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
475,Pinotepa Nacional,MX,81.9,overcast clouds,16.3167,-98.0167,Hotel Maria Del Carmen
487,Sibolga,ID,75.18,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
494,Shagamu,NG,82.18,clear sky,6.8432,3.6478,Remo Majestic Hotel
497,Manzanillo,CU,76.32,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
498,Bowen,AU,79.02,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
499,Katobu,ID,77.92,broken clouds,-4.9408,122.5276,La Ode Husein
505,Mumford,GH,79.52,overcast clouds,5.2618,-0.759,Spanish Villa
510,Sainte-Rose,GP,76.17,scattered clouds,16.3324,-61.6979,Villa - Duzer
513,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
519,Daru,PG,84.16,scattered clouds,-9.0763,143.2092,Daru Lodge
520,Yei,SS,75.58,scattered clouds,4.095,30.6779,City Link Hotel
521,Touba,CI,76.28,few clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
526,Kieta,PG,82.06,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
536,Champerico,GT,89.94,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
537,Kiunga,PG,83.34,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
540,Kinablangan,PH,79.57,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
544,Shafter,US,83.19,clear sky,35.5005,-119.2718,Mucci’s
545,Kpandae,GH,85.1,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
548,Port Macquarie,AU,75.88,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
549,Tiarei,PF,87.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
550,Charlestown,AU,78.82,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
551,Yeppoon,AU,80.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
554,Tomatlan,MX,87.44,overcast clouds,19.9333,-105.25,El Salvial
556,Monte Alegre,BR,76.1,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
557,Trincomalee,LK,79.25,broken clouds,8.5711,81.2335,Welcombe Hotel
565,Purranque,CL,76.33,clear sky,-40.9167,-73.1667,HOSPADAJE ERICA
570,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
576,Gweta,BW,76.17,scattered clouds,-20.1833,25.2333,Gweta Lodge
580,Kralendijk,BQ,78.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
584,Guerrero Negro,MX,76.35,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
588,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
592,Mutis,CO,78.15,light rain,6.2262,-77.4044,Paraiso Escondido
596,Trinidad,BO,80.58,broken clouds,-14.8333,-64.9,Hotel Piesta
597,Salinas,US,85.98,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
599,Assai,BR,85.86,scattered clouds,-23.3733,-50.8414,Árvore Menor
601,Sagua La Grande,CU,79.79,overcast clouds,22.8067,-80.0756,Hotel Telégrafo
606,Nisia Floresta,BR,83.21,clear sky,-6.0911,-35.2086,Rancho Crepusculo
607,Santa Fe,AR,77.0,clear sky,-31.6333,-60.7,Conquistador Hotel
614,Kilindoni,TZ,79.65,overcast clouds,-7.9139,39.6668,Bustani B&B
616,Buckeye,US,82.85,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
619,Kalianget,ID,78.03,heavy intensity rain,-7.05,113.9333,Pesanggrahan Garam
621,Biak,ID,76.51,overcast clouds,-0.9131,122.8766,Penginapan Kim
622,Pochutla,MX,87.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
629,Tilzapotla,MX,85.26,broken clouds,18.4833,-99.2667,"Quesería ""La pradera"""
637,Santa Cruz,BO,80.65,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
643,Amahai,ID,78.87,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
646,Nabire,ID,81.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
648,Dhidhdhoo,MV,79.57,overcast clouds,6.8833,73.1,Dhidhoo beach
651,Metro,ID,76.14,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
657,Savannah Bight,HN,80.65,clear sky,16.45,-85.85,Villa on Dunbar Rock
659,Upington,ZA,77.38,clear sky,-28.4478,21.2561,River Place Manor
660,Popondetta,PG,81.46,moderate rain,-8.7537,148.2534,Timos Transit House
664,Altar,MX,83.19,clear sky,30.7,-111.8167,Hotel Maria Elena
